2026-05-19 01:03:51,580 | INFO    | job_etl              | [adzuna] 'Data Scientist': 50 raw jobs
2026-05-19 01:03:51,592 | INFO    | job_etl              | TOTAL RAW: 865 jobs across all APIs
2026-05-19 01:03:57,926 | INFO    | job_etl              | Loaded 0 existing fingerprints from BigQuery
2026-05-19 01:03:57,941 | INFO    | job_etl              | After cross-BQ dedup: 496 new rows to insert (of 496)
2026-05-19 01:16:15,032 | INFO    | job_etl              | ======================================================================
2026-05-19 01:16:15,033 | INFO    | job_etl              |   ULTIMATE US JOB ETL PIPELINE — STARTING
2026-05-19 01:16:15,033 | INFO    | job_etl              | ======================================================================
2026-05-19 01:16:15,347 | INFO    | job_etl              | [remotive] 'Data Analyst': 18 raw jobs
2026-05-19 01:16:15,503 | INFO    | job_etl              | [arbeitnow] 'Data Analyst': 0 raw jobs
2026-05-19 01:16:15,526 | INFO    | job_etl              | [remotive] 'Product Analyst': 18 raw jobs
2026-05-19 01:16:15,690 | INFO    | job_etl              | [remotive] 'Marketing Analyst': 18 raw jobs
2026-05-19 01:16:15,838 | INFO    | job_etl              | [arbeitnow] 'Product Analyst': 0 raw jobs
2026-05-19 01:16:15,900 | INFO    | job_etl              | [remotive] 'Business Analyst': 18 raw jobs
2026-05-19 01:16:16,118 | INFO    | job_etl              | [jooble] 'Data Analyst': 40 raw jobs
2026-05-19 01:16:16,121 | INFO    | job_etl              | [remotive] 'Business Intelligence Analyst': 18 raw jobs
2026-05-19 01:16:16,296 | INFO    | job_etl              | [themuse] 'Data Analyst': 0 raw jobs
2026-05-19 01:16:16,326 | INFO    | job_etl              | [arbeitnow] 'Marketing Analyst': 0 raw jobs
2026-05-19 01:16:16,359 | ERROR   | job_etl              | [usajobs] 'Data Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:16,360 | INFO    | job_etl              | [usajobs] 'Data Analyst': 0 raw jobs
2026-05-19 01:16:16,363 | INFO    | job_etl              | [remotive] 'Financial Analyst': 18 raw jobs
2026-05-19 01:16:16,458 | ERROR   | job_etl              | [arbeitnow] page 1 'Business Analyst': 'int' object is not subscriptable
2026-05-19 01:16:16,459 | INFO    | job_etl              | [arbeitnow] 'Business Analyst': 0 raw jobs
2026-05-19 01:16:16,593 | INFO    | job_etl              | [remotive] 'Operation Analyst': 18 raw jobs
2026-05-19 01:16:16,653 | ERROR   | job_etl              | [usajobs] 'Product Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:16,654 | INFO    | job_etl              | [usajobs] 'Product Analyst': 0 raw jobs
2026-05-19 01:16:16,747 | INFO    | job_etl              | [remotive] 'Data Scientist': 18 raw jobs
2026-05-19 01:16:16,748 | INFO    | job_etl              | [OK] [remotive] returned 144 raw records
2026-05-19 01:16:16,771 | INFO    | job_etl              | [adzuna] 'Data Analyst': 50 raw jobs
2026-05-19 01:16:16,779 | INFO    | job_etl              | [jooble] 'Product Analyst': 40 raw jobs
2026-05-19 01:16:16,873 | ERROR   | job_etl              | [usajobs] 'Marketing Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:16,874 | INFO    | job_etl              | [usajobs] 'Marketing Analyst': 0 raw jobs
2026-05-19 01:16:17,284 | INFO    | job_etl              | [themuse] 'Product Analyst': 0 raw jobs
2026-05-19 01:16:17,498 | INFO    | job_etl              | [jooble] 'Marketing Analyst': 40 raw jobs
2026-05-19 01:16:17,579 | ERROR   | job_etl              | [usajobs] 'Business Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:17,581 | INFO    | job_etl              | [usajobs] 'Business Analyst': 0 raw jobs
2026-05-19 01:16:17,824 | ERROR   | job_etl              | [usajobs] 'Business Intelligence Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:17,824 | INFO    | job_etl              | [usajobs] 'Business Intelligence Analyst': 0 raw jobs
2026-05-19 01:16:17,950 | INFO    | job_etl              | [themuse] 'Marketing Analyst': 0 raw jobs
2026-05-19 01:16:18,000 | INFO    | job_etl              | [adzuna] 'Product Analyst': 50 raw jobs
2026-05-19 01:16:18,122 | INFO    | job_etl              | [jooble] 'Business Analyst': 40 raw jobs
2026-05-19 01:16:18,255 | ERROR   | job_etl              | [usajobs] 'Financial Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:18,257 | INFO    | job_etl              | [usajobs] 'Financial Analyst': 0 raw jobs
2026-05-19 01:16:18,719 | ERROR   | job_etl              | [usajobs] 'Operation Analyst': sequence item 2: expected str instance, list found
2026-05-19 01:16:18,721 | INFO    | job_etl              | [usajobs] 'Operation Analyst': 0 raw jobs
2026-05-19 01:16:18,738 | INFO    | job_etl              | [themuse] 'Business Analyst': 1 raw jobs
2026-05-19 01:16:18,831 | INFO    | job_etl              | [jooble] 'Business Intelligence Analyst': 40 raw jobs
2026-05-19 01:16:18,882 | INFO    | job_etl              | [arbeitnow] 'Business Intelligence Analyst': 0 raw jobs
2026-05-19 01:16:19,192 | INFO    | job_etl              | [arbeitnow] 'Financial Analyst': 0 raw jobs
2026-05-19 01:16:19,230 | ERROR   | job_etl              | [usajobs] 'Data Scientist': sequence item 2: expected str instance, list found
2026-05-19 01:16:19,231 | INFO    | job_etl              | [usajobs] 'Data Scientist': 0 raw jobs
2026-05-19 01:16:19,232 | INFO    | job_etl              | [OK] [usajobs] returned 0 raw records
